formula,name,vendor,sku,grade,pack_size_g,pack_price_AUD,price_AUD_per_g,source_url,price_checked_date
AgNO3,Silver nitrate,Sigma-Aldrich,1015120100,"EMSURE ACS, ISO, Reag. Ph Eur",100,978.00,9.7800,https://www.sigmaaldrich.com/AU/en/product/mm/101512,2026-08-02
Cu(CH3COO)2·H2O,Copper(II) acetate monohydrate,Sigma-Aldrich,217557-100G,"ACS reagent, ≥98%",100,78.20,0.7820,https://www.sigmaaldrich.com/AU/en/product/sigald/217557,2026-08-02
CuSO4·5H2O,Copper(II) sulfate pentahydrate,Sigma-Aldrich,209198-100G,"ACS reagent, ≥98%",100,86.10,0.8610,https://www.sigmaaldrich.com/AU/en/product/sigald/209198,2026-08-02
Cu(NO3)2·3H2O,Copper(II) nitrate trihydrate,Sigma-Aldrich,61194-100G,"puriss. p.a., 99–104%",100,128.00,1.2800,https://www.sigmaaldrich.com/AU/en/product/sigald/61194,2026-08-02
CuCl2·2H2O,Copper(II) chloride dihydrate,Sigma-Aldrich,221783-100G,reagent grade,100,65.00,0.6500,https://www.sigmaaldrich.com/AU/en/product/sigald/221783,2026-08-02
FeCl3·6H2O,Iron(III) chloride hexahydrate,Sigma-Aldrich,F2877-100G,"reagent grade, ≥98%",100,56.30,0.5630,https://www.sigmaaldrich.com/AU/en/product/sigald/f2877,2026-08-02
Co(NO3)2·6H2O,Cobalt(II) nitrate hexahydrate,Sigma-Aldrich,230375-100G,"reagent grade, 98%",100,127.00,1.2700,https://www.sigmaaldrich.com/AU/en/product/sigald/230375,2026-08-02
Ni(NO3)2·6H2O,Nickel(II) nitrate hexahydrate,Sigma-Aldrich,244074-100G,crystals,100,73.00,0.7300,https://www.sigmaaldrich.com/AU/en/product/sigald/244074,2026-08-02
Zn(NO3)2·6H2O,Zinc nitrate hexahydrate,Sigma-Aldrich,228737-100G,"reagent grade, 98%",100,48.00,0.4800,https://www.sigmaaldrich.com/AU/en/product/sigald/228737,2026-08-02
